experiment 1;surface bulk 2%;sample 1;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;;combined;;;;experiment 1;surface bulk 2%;sample 1;
;;grader;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;;nucelous ;myotubes;;;;;grader;nucelous 
;;0;0.012649082;0.011712838;0.012990058;0.011357337;0.012273675;0.011623225;0.01173031;0.012359006;0.010214938;0.011565985;0.011043123;0.011905226;0.012117937;0.011747106;0.013158195;0.012328928;0.010443318;0.011383156;0.011115413;0.011251893;;0.011773605;0.01172347;;;;;0;0.011773605
;;2;0.010358549;0.01082282;0.012202395;0.010307554;0.010036942;0.010502652;0.01146227;0.011344002;0.009461193;0.010629894;0.011028426;0.009954212;0.011981416;0.010873044;0.010346476;0.011452656;0.009283697;0.010597054;0.011996503;0.010614284;;0.010815787;0.010709817;;;;;2;0.010815787
;;4;0.012084472;0.011022317;0.011442281;0.009959909;0.010507154;0.010753307;0.011218564;0.011528701;0.009941404;0.011024797;0.01207117;0.010640656;0.011239574;0.011057008;0.010661244;0.011859582;0.010318048;0.011138057;0.012574316;0.010787095;;0.011205823;0.010977143;;;;;4;0.011205823
;;6;0.011066767;0.010706831;0.011095661;0.01038405;0.010014932;0.010493692;0.011442456;0.011799804;0.010618127;0.011133645;0.011261074;0.010298304;0.01014923;0.011617167;0.010909852;0.011849493;0.010389857;0.011501744;0.01292382;0.010762386;;0.010987178;0.011054712;;;;;6;0.010987178
;;8;0.011403544;0.011105307;0.012659626;0.010405327;0.010804065;0.010666266;0.011625712;0.011941429;0.010086331;0.011226994;0.012282324;0.010407758;0.009598413;0.011436559;0.010630043;0.012014514;0.010285367;0.011213083;0.012873091;0.010759619;;0.011224852;0.011117686;;;;;8;0.011224852
;;10;0.01039868;0.011614018;0.012838913;0.010671376;0.010963845;0.010671919;0.012410931;0.012511954;0.010459837;0.011146132;0.010927398;0.009669345;0.009449686;0.011905073;0.011104981;0.011703062;0.010622405;0.011305033;0.011946224;0.010801691;;0.01111229;0.01119996;;;;;10;0.01111229
;;12;0.011365948;0.011629048;0.012505868;0.010668289;0.012637954;0.010868915;0.012684206;0.01308153;0.011476093;0.011949326;0.009820404;0.010259689;0.010089287;0.012166552;0.011500065;0.012051324;0.010915368;0.010986961;0.011276982;0.011358716;;0.011427218;0.011502035;;;;;12;0.011427218
;;14;0.01055063;0.01118326;0.012854744;0.010600755;0.013098449;0.011027487;0.012324784;0.014304059;0.012726694;0.011654763;0.009701556;0.009575673;0.011049771;0.011794721;0.012458834;0.012207986;0.012135984;0.011468974;0.011174359;0.011819769;;0.011807581;0.011563745;;;;;14;0.011807581
;;16;0.011020139;0.011147232;0.010944198;0.010394491;0.012746313;0.011044718;0.011701531;0.013986495;0.012701452;0.011588416;0.010985136;0.009669466;0.011935582;0.011991592;0.011588443;0.012469571;0.0123172;0.011323664;0.010949228;0.011670665;;0.011688922;0.011528631;;;;;16;0.011688922
;;18;0.010138038;0.011321223;0.011135286;0.010734657;0.011426776;0.010650817;0.01164106;0.01364223;0.012313034;0.01263674;0.010834544;0.009838486;0.011402291;0.012376278;0.011636721;0.012218121;0.011531607;0.01157847;0.010105615;0.011696748;;0.011216497;0.011669377;;;;;18;0.011216497
